name,description,size,specialType,tags,offerStartDate,offerEndDate,currentPrice,wasPrice,saving,savingPercentage,unitPrice,multiBuy,barcode,imageUrl
Fresh Chicken Breast Fillet,,1kg,none,meat-seafood,16/10/2017,22/10/2017,10.99,10.99,,,"10.99, 1KG",,,https://www.abelandcole.co.uk/media/4222_3542_z.jpg
Heineken 330ml 12 Pack Bottles,,330ml x 2,multiBuy,liquor-beer-cider,,,,,,,,"2,40",,https://img.coopathome.ch/produkte/300_300/RGB/3051328_001.jpg?_=1455474020014
Fresh Quality Mark Beef Porterhouse Steak,,1kg,special,meat-seafood,,,24.99,24.99,,,"24.99, 1KG",,,http://www.jlmeats.net.au/wp-content/uploads/2013/02/17_0041.jpg
Tomatoes Loose or Truss,,1kg,special,,,,5.99,5.99,,,"5.99, 1KG",,,http://www.davidrhodesfruiterersandflorist.com/lg_images/Tomatoes_Loose_Dutch.jpg
Fresh Quality Mark Lamb Leg Steak,,1kg,special,meat-seafood,,,19.99,19.99,,,"19.99, 1KG",,,https://greatbritishmeat.com/asset/image/quality-british-meat-lamb-leg-steak-2-710x0.jpg
Fresh Quality Mark Coastal Spring Lamb Rack,,1kg,special,meat-seafood,,,44.99,44.99,,,"44.99, 1KG",,,http://www.thebutchersmarkets.com/wp-content/uploads/2016/03/austrailian-rack.jpg
Hellers Everyday Sausages 6-10 pack,,6-10 pack,special,meat-seafood,,,6.99,6.99,,,,,,https://www.robsbutchers.co.uk/wp-content/uploads/2016/09/Sausages.png
Fresh Instore Made Sausages,,1kg,special,meat-seafood,,,14.99,14.99,,,"14.99, 1KG",,,https://www.robsbutchers.co.uk/wp-content/uploads/2016/09/Sausages.png
Fresh Tegel Chicken Wraps,,5pack,special,meat-seafood,,,8.99,8.99,,,,,,"https://www.tegel.co.nz/media/66938/italian-chicken-wraps_cc-shad_1200x1200px.png?crop=0.22166666666666668,0.31166666666666665,0.2292850170815032,0.13928501708150318&cropmode=percentage&width=500&height=500&rnd=131529845360000000"
Fresh Whole Waitoa Free Range Chicken,,1kg,special,meat-seafood,,,7.99,7.99,,,"7.99, 1KG",,,http://www.waitoafreerange.co.nz/media/1018/waitoa-13.png
Fresh Quality Mark Beef Tenderised Steak,,1kg,special,meat-seafood,,,12.99,12.99,,,"12.99, 1KG",,,https://cdn.shopify.com/s/files/1/0217/3948/products/minute_steak_raw_large.jpg?v=1363832502
Fresh Freedom Farm Pork Leg Roast bone in,,1kg,special,meat-seafood,,,8.99,8.99,,,"8.99, 1KG",,,http://wilmeat.com/wp-content/uploads/1.-Leg-Roast-opt1.jpg
Fresh Quality Mark Premium Beef Mince,,1kg,special,meat-seafood,,,12.99,12.99,,,"12.99, 1KG",,,http://downtoearthproduce.com.au/images/detailed/1/extra_lean_beef_mince.jpg
Fresh Quality Mark Lamb Shoulder Chops,,1kg,special,meat-seafood,,,12.99,12.99,,,"12.99, 1KG",,,http://cdn.shopify.com/s/files/1/0917/9396/products/Lamb_Shoulder_02231240_grande.jpg?v=1445502047
Fresh Pork Loin Chops,,1kg,special,meat-seafood,,,11.99,11.99,,,"11.99, 1KG",,,http://bosheuvelestate.co.za/shop/33/pork-loin-chop.jpg
Fresh Portk Schnitzel,,1kg,special,meat-seafood,,,,,,,,,,